prog_no;Cycle;Prog Type;Obs #;Label;Obs type;Target;TOI;RA (deg);Dec (deg);Gmag;Kmag;Teff (K);Planet;Period (d);Radius (Re);Radius (RJ);Teq (K);;;
1981;1;GO;23;Visit 3;transit;GJ 1132;667;153.7053638;-47.15394513;12.138;8.322;3270;GJ 1132 b;1.628931;1.13;0.101;584;;;
1981;1;GO;11;Visit 1;transit;GJ 486;1827;191.9794048;9.74846325;10.094;6.362;3340;GJ 486 b;1.467119;1.305;0.116;703;;;
1981;1;GO;12;Visit 2;transit;GJ 486;1827;191.9794014;9.748461711;10.094;6.362;3340;GJ 486 b;1.467119;1.305;0.116;703;;;
1981;1;GO;31;Visit 1;transit;GJ-341;;140.3957577;-60.28078059;0;0;0;0;7.5768707;0;0;0;;;
1981;1;GO;32;Visit 2;transit;GJ-341;;140.3957675;-60.28078164;0;0;0;0;7.5768707;0;0;0;;;
1981;1;GO;33;Visit 3;transit;GJ-341;;140.3957089;-60.28077534;0;0;0;0;7.5768707;0;0;0;;;
1981;1;GO;41;Visit 1;transit;LHS 475;910;290.2432083;-82.56223768;11.4174;7.686;3300;LHS 475 b;2.029088;0.991;0.088;;;;
1981;1;GO;43;Visit 3;transit;LHS 475;910;290.2432165;-82.56224147;11.4174;7.686;3300;LHS 475 b;2.029088;0.991;0.088;;;;
1981;1;GO;51;Visit 1;transit;TRAPPIST-1;;346.6285838;-5.044585456;15.6451;10.296;2566;TRAPPIST-1 h;18.772866;0.755;0.067;172;;;
1981;1;GO;52;Visit 2;transit;TRAPPIST-1;;346.6263921;-5.043461111;15.6451;10.296;2566;TRAPPIST-1 h;18.772866;0.755;0.067;172;;;
1981;1;GO;53;Visit 3;transit;TRAPPIST-1;;346.6284771;-5.044530728;15.6451;10.296;2566;TRAPPIST-1 h;18.772866;0.755;0.067;172;;;
2001;1;GO;1;;transit;HD 189733;4470;300.1821149;22.70927391;7.41432;5.541;5052;HD 189733 b;2.21857567;12.666;1.13;1193;;;
2008;1;GO;1;HD 80606b phase curve;transit;HD 80606;;140.65695;50.60377778;8.82008;7.316;5561;HD 80606 b;111.4367;11.994;1.07;405;;;
2021;1;GO;1;Eclipse;eclipse;HD 189733;4470;300.1821149;22.70927243;7.41432;5.541;5052;HD 189733 b;2.21857567;12.666;1.13;1193;;;
2021;1;GO;2;Eclipse;eclipse;HD 189733;4470;300.1821148;22.70926779;7.41432;5.541;5052;HD 189733 b;2.21857567;12.666;1.13;1193;;;
2021;1;GO;11;Eclipse;eclipse;HD 189733;4470;300.1821142;22.70921923;7.41432;5.541;5052;HD 189733 b;2.21857567;12.666;1.13;1193;;;
2055;1;GO;1;Transit;transit;WASP-178;1337;227.2703584;-42.70495373;9.91226;9.703;9360;WASP-178 b;3.3448285;20.288;1.81;2469;;;
2062;1;GO;3;WASP-166b NIRSpec BOTS;transit;WASP-166;576;144.8749646;-20.98239352;9.257;8.032;6050;WASP-166 b;5.44354;7.062;0.63;1273;;;
2062;1;GO;4;WASP-166b NIRISS SOSS - Repeat of observation 1;transit;WASP-166;576;144.8749653;-20.98239365;9.257;8.032;6050;WASP-166 b;5.44354;7.062;0.63;1273;;;
